gridkey_on,gridkey_off,count
112100332010,112100332010,63
112100323012,112100321312,3
112100320300,112100320033,2
112100323031,112100313303,2
112101021223,112101021232,1
112100332030,112100332032,1
112100323020,112100323030,29
112100323103,112100321203,1
112102101021,112100323100,1
112100311030,112100132301,2
112100323233,112100323110,1
112100321202,112100321230,7
112100321230,112100332000,4
112100323020,112100323103,4
112103100133,112103101202,3
112102301323,112102301203,2
112100323033,112102101110,1
112100323331,112100323331,384
112100323031,112100213313,1
112100323012,112100321220,2
112100323100,112100321232,80
112100332033,112100323120,1
112100321312,112100321233,3
112100323010,112100323221,1
112100300323,112100320210,1
112100332212,112102110121,4
112100323121,112100330221,1
112102100123,112102100132,1
112102101321,112100323033,1
112101033202,112101033200,1
112102100111,112100323030,1
112100323012,112100323031,874
112103101200,112103100313,1
112100321313,112100321301,18
112102030312,112102030312,1
112100323020,112100323033,2
112102101302,112100323300,1
112100323000,112100323001,30
112102110130,112100321322,1
112101302210,112101302201,1
112100323103,112100323311,10
112102100232,112100323121,1
112100323112,112100323202,3
112100323112,112100332001,1
112100311030,112100311031,1
112100323123,112100323132,467
112100323101,112100323102,576
112100323033,112100323311,7
112100321231,112100323123,1
112101223130,112101223131,1
112100323112,112100332023,3
112100320212,112100320302,1
112100332332,112100332332,3
112100323132,112100323120,71
112100323103,112102101110,1
112100320323,112100322102,1
112100330231,112100323131,1
112100323200,112100323001,1
112101201103,112101201103,21
112102111033,112100323031,1
112100323033,112100323303,36
112101232002,112101232003,1
112100323303,112100323301,4
112100323310,112100323102,1
112102132001,112102132001,3
112101222221,112101222223,44
112100323012,112102120031,1
112102100211,112100321223,1
112100323001,112100321223,100
112100330120,112100311301,4
112100332300,112100332032,2
112100320310,112100321230,4
112100322133,112100323202,1
112100323011,112100332021,1
112101023223,112101201101,2
112100323003,112100323013,718
112100322311,112100323022,7
112100323201,112100321333,1
112100323302,112100323302,113
112100330210,112100330201,3
112100312222,112100321311,1
112100323022,112100323131,1
112100330200,112100330210,1
112100320012,112100320012,2
112100323010,112100321202,1
112100321301,112100321122,1
112100330211,112100321221,1
112100323121,112100332202,2
112100330203,112100321331,1
112100323331,112102110002,3
112100323303,112100323310,3
112102102302,112102102302,25
112100323211,112100323120,56
112101200130,112101023222,1
112100231120,112100231120,14
112102110133,112102110131,1
112100213313,112100213313,151
112100323311,112100323310,23
112100323102,112100330231,1
112100323130,112100323200,1
112100302221,112100302221,11
112100321322,112100321233,409
112100332002,112100323131,108
112100323013,112100323210,5
112100321133,112100321331,1
112100321201,112100321211,1
112100321221,112100323013,78
112100323122,112100323023,11
112102102121,112102120222,1
112102101032,112100323030,1
112100323113,112102110121,1
112102110123,112100321332,3
112100330221,112100321331,14
112102013110,112100323033,1
112102110031,112102110120,1
112100323123,112100323010,10
112100323301,112100323102,1
112101203130,112100323013,1
112100322032,112100322311,1
112100323000,112100321222,1
112102013102,112102011323,1
112100330213,112100330302,6
112102112200,112100323102,1
112100323311,112100323301,6
112102102020,112102013102,1
112100330321,112100321230,2
112102132200,112102121320,1
112102231212,112102230310,1
112100323300,112100323120,57
112101211230,112101211230,1
112100323011,112100330322,3
112100331330,112100332033,1
112103120211,112103120210,1
112102012302,112102002321,1
112100323033,112100332120,1
112102100200,112100322332,1
112100323123,112100322311,2
112101231032,112101231032,3
112100321223,112100321321,2
112100330233,112100330230,3
112102111031,112102111031,1
112100202213,112100202213,1
112102013232,112102013232,1
112102303111,112102303110,2
112100323012,112100321223,14
112100323220,112100323220,38
112100330322,112100323111,1
112100332002,112100323331,3
112103200200,112103200200,64
112100332212,112100323110,1
112102101332,112100323011,1
112100321313,112100321331,8
112102110223,112102303202,1
112100330322,112100323120,7
112100323003,112100332002,2
112100321332,112100323102,137
112100330231,112100332010,2
112100322311,112100322301,6
112100322311,112100323013,24
112101033022,112101032322,1
112100323003,112100323022,6
112102113022,112102113030,1
112100323100,112102111002,1
112102121213,112102121231,4
112100321320,112100321232,35
112100323210,112100323320,1
